wst,Mizuha 【丸 Obi] SP Blue,ミヅハ【丸帯】SP青,426,426,TRUE,TRUE,TRUE,FALSE,FALSE
wst,Mizuha 【丸 Obi] SP Red,ミヅハ【丸帯】SP赤,427,427,TRUE,TRUE,TRUE,FALSE,FALSE
wst,Mizuha 【丸 Obi] SP Yellow,ミヅハ【丸帯】SP黄,425,425,TRUE,TRUE,TRUE,FALSE,FALSE
wst,Carrol C Belt,キャロルＣベルト,1960,1960,TRUE,TRUE,TRUE,TRUE,FALSE
wst,Zyra C Coil,ザイラＣコイル,1961,1961,TRUE,TRUE,TRUE,TRUE,FALSE
wst,Loose C Waist,ルースＣウエスト,1962,1962,TRUE,TRUE,TRUE,TRUE,FALSE
wst,Higakure C Faulds,ヒガクレＣフォールド,1973,1973,TRUE,TRUE,TRUE,TRUE,FALSE
wst,Harokyu D Coil,ハロキュＤコイル,1557,1557,TRUE,TRUE,TRUE,TRUE,FALSE
wst,Evol D Coil・White,エヴォルＤコイル・白,1928,1928,TRUE,TRUE,TRUE,TRUE,FALSE
wst,Evol D Coil・Red,エヴォルＤコイル・赤,1929,1929,TRUE,TRUE,TRUE,TRUE,FALSE
wst,Evol D Coil・Blue,エヴォルＤコイル・青,1930,1930,TRUE,TRUE,TRUE,TRUE,FALSE
wst,Evol D Coil・Purple,エヴォルＤコイル・紫,1931,1931,TRUE,TRUE,TRUE,TRUE,FALSE
wst,Blue Ice Emperor D Coil,蒼皇氷Ｄコイル,1871,1871,TRUE,TRUE,TRUE,TRUE,FALSE
wst,White Ice Emperor D Coil,白皇氷Ｄコイル,1872,1872,TRUE,TRUE,TRUE,TRUE,FALSE
wst,Red Ice Emperor D Coil,紅皇氷Ｄコイル,1873,1873,TRUE,TRUE,TRUE,TRUE,FALSE
wst,Rance C Faulds,ランセＣフォールド,1975,1975,TRUE,TRUE,TRUE,TRUE,FALSE
wst,Santa D Faulds,サンタＤフォールド,700,700,TRUE,TRUE,TRUE,TRUE,FALSE
